"year","biomass","rec_index1","rec_index2","rec_index3","TAC","catch","Fmsy","Bmsy","Brel","Brel_lwr","Brel_upr","Frel","Frel_lwr","Frel_upr"
1981,500,65.0283316510214,37.7526044128851,34.0095236122404,67.5,67.6979369473344,0.15,500,1,0.818730753077982,1.22140275816017,0.902639159297792,0.739018438649558,1.1024859587897
1982,402.702190882509,41.1235198108398,34.8664258312632,30.8245549202218,67.5,80.3816036330583,0.15,500,0.805404381765017,0.659409336014779,0.983723133322079,1.33070385432809,1.08948816877781,1.6253253579707
1983,434.820691964933,55.0429073016019,21.3340257950505,15.0473819957878,67.5,77.4211905781952,0.15,500,0.869641383929866,0.712002145172678,1.06218238494217,1.18702094923055,0.971850555682873,1.4498306613841
1984,460.830994068133,47.3969846819808,26.3084896802898,16.8316844651873,67.5,73.2245777014546,0.15,500,0.921661988136265,0.754593013630154,1.12572049440102,1.05931210709941,0.867291399190126,1.29384672936368
1985,562.795375826354,53.3299379484284,30.953912650042,19.2375365118267,67.5,59.5767691821566,0.15,500,1.12559075165271,0.921555763758233,1.3747996486282,0.705724457368185,0.577798316446604,0.861973798730591
1986,517.682445228905,59.3878365057529,37.9528848519382,15.2211584354712,98.6279192774267,108.462563099458,0.15,500,1.03536489045781,0.847685076475025,1.26459753290737,1.39677085955013,1.14357925771686,1.70601978037228
1987,480.730321611165,52.493543848627,34.7231722575911,20.7698202640842,98.6279192774267,102.725140441502,0.15,500,0.96146064322233,0.787177396480259,1.1743306814942,1.42457057277934,1.16633973786436,1.7399744267865
1988,431.228658056166,45.4960647415781,35.1821359278612,24.0063860167925,98.6279192774267,100.625061875769,0.15,500,0.862457316112332,0.706120327918265,1.05340774469502,1.55563349815931,1.2736449854613,1.90005504533813
1989,364.868691202071,38.8702282122614,32.4760644495992,10.2685741797074,98.6279192774267,129.097258365607,0.15,500,0.729737382404141,0.597458436644898,0.891303251601001,2.35878936685036,1.93121339467373,2.8810318385899
1990,395.522799319651,39.7150269642561,30.903911113054,7.63383806400785,98.6279192774267,99.614478284326,0.15,500,0.791045598639302,0.647653358692979,0.966185276008506,1.67903474347834,1.37467737997212,2.0507776667312
